iter	Passed	Remaining
0	1	153
1	2	132
2	3	122
3	4	105
4	5	102
5	6	105
6	7	106
7	9	104
8	10	102
9	11	101
10	12	100
11	13	100
12	15	100
13	16	100
14	17	98
15	18	97
16	19	95
17	20	95
18	22	94
19	23	93
20	24	92
21	26	92
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	82
28	33	81
29	34	80
30	35	79
31	37	78
32	38	78
33	40	79
34	41	77
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	67
42	49	66
43	50	64
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	56
51	60	55
52	61	54
53	62	53
54	62	51
55	63	50
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	32
72	83	31
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	16
86	99	14
87	100	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
